Sample,X,Y,Z
0,-0.016,0.004,1.016
1,0.012,-0.004,1.027
2,0.012,0.000,1.023
3,-0.004,0.004,1.031
4,0.027,0.008,1.035
5,0.016,0.027,0.984
6,0.020,0.020,1.000
7,0.008,0.012,1.004
8,0.012,0.023,0.980
9,0.023,0.012,1.027
10,0.023,-0.004,1.031
11,0.023,0.008,1.000
12,-0.008,0.000,1.020
13,0.027,0.012,0.996
14,0.012,0.016,0.996
15,-0.004,0.020,1.039
16,0.020,0.027,1.023
17,0.023,0.023,0.996
18,0.012,0.004,1.020
19,0.012,0.016,1.012
20,0.031,0.020,1.035
21,0.020,0.004,1.012
22,0.020,0.000,1.004
23,0.023,0.016,1.008
24,-0.004,0.012,1.051
25,0.000,0.031,1.062
26,0.020,0.016,1.051
27,-0.012,0.012,1.016
28,0.031,0.023,1.023
29,0.008,0.020,1.016
30,0.016,0.020,1.000
31,0.008,0.008,1.016
32,0.023,-0.016,1.027
33,-0.004,0.004,1.012
34,0.008,0.012,0.980
35,-0.016,0.023,0.988
36,0.023,0.035,1.055
37,0.008,0.020,1.016
38,0.004,0.012,0.992
39,0.000,0.016,1.047
40,0.016,0.012,1.012
41,0.031,0.008,1.000
42,0.004,0.004,1.027
43,0.004,0.012,0.996
44,0.012,0.027,1.016
45,0.012,0.023,1.016
46,0.027,0.012,1.027
47,-0.004,0.004,1.023
48,0.000,0.008,1.012
49,0.023,0.023,0.992
50,0.051,0.020,1.008
51,-0.008,0.000,1.004
52,0.012,0.016,1.023
53,0.047,-0.004,0.992
54,0.023,0.000,1.016
55,0.016,0.016,0.984
56,0.008,0.020,1.027
57,0.023,0.008,0.957
58,0.016,0.012,0.996
59,-0.008,0.016,1.000
60,0.016,0.004,1.043
61,0.008,0.012,1.031
62,0.012,0.016,1.023
63,0.000,0.008,1.004
64,0.023,0.016,1.031
65,0.008,0.020,1.082
66,0.012,0.012,1.020
67,0.008,0.020,1.016
68,0.012,0.000,1.016
69,0.016,0.023,1.008
70,0.008,0.012,1.031
71,0.023,-0.004,1.016
72,0.023,-0.004,1.016
73,0.035,0.012,1.094
74,0.023,0.016,0.980
75,0.027,0.012,1.066
76,0.012,0.008,1.004
77,0.027,0.004,0.973
78,0.027,0.016,1.023
79,0.008,0.008,1.035
80,0.004,0.008,1.023
81,0.000,0.000,1.004
82,0.020,0.008,1.000
83,0.012,0.004,1.012
84,0.012,0.004,0.996
85,0.020,0.023,1.012
86,0.016,0.008,1.012
87,0.000,0.012,1.031
88,0.016,0.000,0.980
89,0.004,0.023,1.023
90,0.020,0.016,1.031
91,0.016,0.008,1.027
92,0.004,0.027,1.016
93,-0.008,0.230,0.949
94,0.055,1.227,0.738
95,0.070,1.969,1.082
96,0.016,1.992,1.230
97,0.285,1.832,0.953
98,-0.039,1.344,1.004
99,-0.324,1.594,0.734
100,0.059,1.785,0.980
101,0.156,0.758,1.387
102,0.352,0.020,1.070
103,0.020,0.406,1.102
104,-0.402,-0.266,0.758
105,-0.184,0.059,0.676
106,0.277,0.949,0.633
107,0.340,0.977,1.875
108,-0.227,1.852,0.938
109,-0.020,1.617,0.645
110,-0.883,1.262,0.945
111,0.457,1.590,0.410
112,0.496,1.914,1.566
113,0.066,1.902,1.164
114,-0.078,0.832,0.953
115,-0.355,-0.656,0.934
116,0.270,-0.273,0.543
117,0.055,0.902,1.207
118,0.109,1.273,1.527
119,-0.133,1.094,0.840
120,0.145,0.680,0.148
121,0.145,1.129,1.281
122,0.320,1.906,1.227
123,-0.039,1.406,1.055
124,-0.516,0.559,0.699
125,0.008,0.777,0.273
126,-0.191,1.074,1.770
127,-0.023,1.457,1.473
128,0.262,0.766,0.445
129,-0.176,-0.418,0.793
130,-0.324,0.258,0.504
131,0.547,1.207,1.203
132,-0.023,1.555,1.785
133,-0.305,1.324,0.965
134,0.426,0.625,0.465
135,-0.559,0.832,0.852
136,0.441,1.480,0.945
137,0.504,1.555,1.637
138,0.148,1.406,1.000
139,-0.059,0.602,0.516
140,-0.430,0.449,0.965
141,0.082,0.922,0.883
142,0.207,1.102,1.148
143,0.168,0.566,0.836
144,-0.383,0.641,0.934
145,0.316,0.383,0.621
146,-0.336,1.430,0.645
147,0.164,1.691,1.457
148,0.059,0.961,0.777
149,0.203,0.949,0.438
150,0.160,1.141,0.973
151,0.008,1.578,1.301
152,0.156,1.195,1.000
153,-0.199,0.531,1.375
154,-0.434,0.262,0.410
155,0.262,1.055,0.793
156,0.609,1.695,1.367
157,0.082,1.141,1.363
158,0.398,0.195,0.574
159,-0.898,0.293,0.746
160,-0.105,0.793,1.180
161,0.000,1.809,1.152
162,0.266,1.945,1.406
163,0.234,1.102,1.164
164,-0.488,0.406,0.367
165,-0.020,0.461,0.496
166,-0.137,1.039,1.414
167,0.332,1.562,1.086
168,0.250,0.949,1.355
169,-0.289,0.367,0.965
170,-0.156,0.535,0.219
171,0.316,0.707,0.805
172,0.336,1.184,0.840
173,0.559,1.406,1.309
174,-0.488,1.266,1.070
175,-0.465,0.969,0.855
176,-0.266,0.980,1.281
177,-0.203,1.363,0.781
178,0.855,1.480,1.113
179,-0.750,1.461,0.926
180,0.719,0.727,0.555
181,-0.535,0.625,1.484
182,-0.211,0.547,0.934
183,0.621,0.805,1.270
184,-1.000,0.801,1.234
185,0.633,0.746,0.562
186,-0.473,1.020,1.402
187,1.082,1.375,0.711
188,-0.434,1.656,1.098
189,0.195,1.043,0.715
190,-0.355,0.977,0.723
191,0.168,0.879,1.133
192,0.137,1.082,0.883
193,-0.074,1.055,1.410
194,0.027,0.816,0.707
195,0.051,1.000,0.789
196,-0.359,0.836,1.195
197,1.105,1.363,0.621
198,-0.543,1.164,1.422
199,0.309,0.832,0.332
200,-0.551,0.164,1.031
201,-0.609,0.660,1.266
202,0.645,1.223,0.594
