Sample,X,Y,Z
0,-0.016,0.012,1.027
1,0.008,0.016,0.992
2,0.000,0.000,0.996
3,-0.012,0.020,1.012
4,-0.008,0.008,1.027
5,-0.008,-0.004,1.020
6,-0.004,0.004,1.039
7,-0.008,0.012,1.020
8,0.020,-0.008,1.051
9,-0.004,-0.004,1.031
10,-0.008,0.008,1.027
11,0.020,0.004,1.031
12,-0.008,0.020,1.035
13,0.000,0.020,1.008
14,-0.004,0.020,1.031
15,-0.008,0.016,1.004
16,-0.004,0.016,1.039
17,-0.004,0.000,1.012
18,-0.012,0.000,0.984
19,-0.008,0.008,1.008
20,0.008,0.008,1.055
21,0.012,-0.004,1.012
22,0.008,0.000,1.023
23,0.008,0.012,1.039
24,0.000,0.023,1.004
25,-0.008,-0.008,0.996
26,0.004,0.023,1.020
27,0.016,0.016,0.992
28,-0.023,0.004,1.051
29,0.020,0.012,1.020
30,-0.027,0.004,1.016
31,0.008,0.004,1.016
32,-0.008,0.004,1.016
33,-0.016,0.008,1.031
34,-0.016,0.000,1.035
35,-0.016,0.004,1.043
36,-0.008,0.016,1.031
37,0.008,0.000,1.004
38,-0.004,0.000,1.012
39,0.008,0.000,0.996
40,0.012,0.016,1.027
41,0.016,0.012,1.004
42,0.008,-0.004,1.008
43,0.012,0.016,1.039
44,0.008,0.020,0.996
45,0.000,0.012,1.023
46,-0.020,-0.004,1.000
47,-0.004,0.008,1.051
48,0.008,-0.008,0.980
49,0.008,0.008,1.082
50,-0.012,0.016,1.004
51,-0.004,0.012,1.059
52,-0.008,0.016,1.020
53,-0.012,0.004,1.008
54,0.000,0.023,1.012
55,-0.016,-0.008,1.051
56,-0.004,0.004,1.023
57,0.000,0.008,1.023
58,-0.008,0.016,1.004
59,0.000,0.000,0.988
60,0.000,0.008,1.020
61,0.020,-0.004,1.055
62,-0.016,0.004,0.980
63,0.004,0.004,1.031
64,-0.004,0.004,1.012
65,0.008,0.023,1.008
66,-0.004,0.008,1.023
67,-0.012,0.012,1.035
68,0.016,0.016,1.027
69,-0.020,0.004,0.992
70,-0.012,0.004,1.008
71,0.004,0.012,1.016
72,-0.059,0.020,1.047
73,0.023,0.000,1.016
74,-0.016,0.023,0.980
75,0.004,0.020,1.051
76,0.008,0.008,0.984
77,-0.031,-0.004,1.043
78,-0.008,0.016,1.004
79,-0.008,0.016,1.012
80,-0.016,0.004,0.992
81,0.004,0.008,1.016
82,0.004,0.020,0.996
83,0.012,0.012,1.043
84,0.000,0.000,1.020
85,0.000,0.012,1.051
86,0.012,0.027,0.988
87,0.008,0.016,0.977
88,-0.012,0.016,1.059
89,0.004,0.004,1.016
90,-0.023,0.012,1.012
91,0.004,0.004,1.039
92,0.012,0.004,0.992
93,-0.004,0.000,1.023
94,-0.008,0.020,1.035
95,0.012,0.039,1.074
96,-0.020,0.055,1.012
97,0.008,0.316,1.020
98,-0.188,0.547,1.000
99,-0.230,0.742,1.035
100,0.211,0.488,0.992
101,-0.020,0.270,1.113
102,-0.145,0.465,1.242
103,-0.066,0.574,0.949
104,-0.066,0.531,0.719
105,0.430,0.762,0.730
106,0.316,1.188,1.051
107,0.133,1.168,1.176
108,-0.074,0.605,1.078
109,-0.297,0.031,1.000
110,-0.004,0.242,0.781
111,0.336,1.059,0.773
112,0.289,1.488,0.930
113,-0.008,1.039,1.055
114,-0.453,0.582,1.152
115,-0.047,0.930,1.109
116,0.539,1.078,1.047
117,-0.441,0.668,0.906
118,-0.328,1.504,0.734
119,0.125,1.840,1.129
120,-0.078,1.328,1.242
121,0.348,1.094,1.379
122,-0.426,0.773,0.914
123,-0.312,1.129,0.719
124,0.473,0.793,0.945
125,0.016,1.055,1.461
126,0.539,1.680,0.777
127,-0.066,1.094,0.688
128,-0.324,0.582,0.992
129,0.039,1.180,1.301
130,0.047,1.500,1.082
131,0.156,1.254,0.816
132,0.016,1.168,1.180
133,-0.156,0.984,0.969
134,-0.043,1.461,0.367
135,0.188,1.254,1.199
136,0.113,0.836,1.336
137,0.008,1.250,0.676
138,-0.453,0.891,0.633
139,0.164,0.934,1.004
140,0.320,1.219,1.418
141,-0.105,1.109,0.875
142,-0.145,1.234,0.504
143,-0.152,1.168,1.281
144,-0.176,1.156,1.199
145,-0.023,1.484,0.883
146,0.125,1.656,1.227
147,-0.012,1.422,1.473
148,0.047,0.703,0.965
149,0.055,0.801,0.816
150,0.023,1.602,1.137
