Sample,X,Y,Z
0,-0.012,0.250,1.004
1,0.004,0.016,1.031
2,0.000,0.008,0.965
3,0.004,0.012,1.020
4,0.008,0.020,1.000
5,-0.016,0.012,1.016
6,0.004,0.023,1.031
7,-0.004,0.012,1.012
8,0.008,0.004,1.016
9,0.000,0.016,0.984
10,0.012,0.027,0.980
11,0.012,0.020,1.031
12,0.008,0.020,1.035
13,-0.008,0.000,1.008
14,-0.012,0.020,1.012
15,0.008,0.020,1.027
16,-0.016,-0.004,1.016
17,-0.004,0.008,1.016
18,-0.008,-0.004,1.039
19,-0.004,0.023,1.012
20,0.000,0.020,1.016
21,-0.008,0.016,0.977
22,-0.008,-0.008,0.992
23,0.000,0.012,0.992
24,0.008,0.023,1.012
25,0.016,0.020,1.027
26,0.004,0.004,0.984
27,-0.023,0.012,1.035
28,0.004,0.020,0.977
29,-0.023,0.004,1.059
30,0.004,0.012,1.020
31,0.016,0.020,1.020
32,-0.004,0.004,1.051
33,0.020,0.008,1.035
34,-0.016,0.016,1.043
35,0.008,0.008,0.988
36,0.008,0.016,0.961
37,-0.020,0.012,1.039
38,0.008,0.004,1.031
39,0.016,0.004,1.059
40,-0.012,0.012,1.012
41,-0.012,0.004,1.008
42,-0.004,0.008,1.012
43,-0.008,0.020,1.027
44,0.008,0.016,1.066
45,-0.004,0.016,1.012
46,0.012,-0.008,1.000
47,-0.012,0.012,1.031
48,-0.008,0.004,1.004
49,-0.008,0.008,1.008
50,-0.016,0.016,1.004
51,0.020,0.023,1.016
52,-0.008,0.004,1.051
53,0.000,0.000,1.016
54,0.000,0.000,1.016
55,-0.008,0.012,0.988
56,0.020,0.008,1.016
57,-0.004,0.008,1.012
58,-0.023,-0.004,1.008
59,0.004,0.000,1.023
60,-0.016,0.000,1.059
61,0.004,0.008,1.016
62,0.012,0.012,1.055
63,-0.004,0.008,1.012
64,0.012,0.008,1.047
65,0.000,0.016,1.066
66,0.004,0.012,1.031
67,-0.031,0.004,1.055
68,-0.020,-0.016,1.027
69,-0.008,0.008,1.051
70,-0.012,0.012,1.008
71,0.008,0.000,1.043
72,-0.004,-0.012,1.023
73,-0.020,0.000,1.066
74,0.008,0.031,1.016
75,-0.008,-0.008,1.055
76,0.023,0.008,1.023
77,-0.004,0.016,1.008
78,0.004,0.016,1.062
79,0.020,0.008,0.992
80,-0.008,-0.004,0.977
81,-0.012,-0.004,0.984
82,-0.004,0.016,1.012
83,0.004,0.008,1.031
84,-0.012,0.008,1.008
85,0.012,0.000,1.035
86,0.000,0.012,0.992
87,-0.016,0.012,1.039
88,-0.004,-0.004,1.008
89,0.012,0.004,1.055
90,-0.008,0.004,1.051
91,0.008,0.004,1.023
92,-0.004,0.031,1.031
93,0.031,0.074,1.000
94,0.082,0.023,1.020
95,-0.066,-0.020,1.137
96,-0.535,0.023,1.141
97,-0.598,0.051,1.180
98,-0.070,-0.074,0.891
99,-0.277,-0.141,1.191
100,-0.379,0.062,1.328
101,-0.527,0.117,1.234
102,-0.875,-0.094,1.090
103,-1.086,-0.035,0.582
104,-1.012,0.285,0.551
105,-1.102,0.719,0.699
106,-1.141,0.500,0.977
107,-1.059,-0.262,1.004
108,-1.000,-0.746,1.102
109,-1.059,-0.375,0.781
110,-0.938,0.301,0.613
111,-0.676,0.027,0.352
112,-0.730,-0.477,1.070
113,-0.605,-0.023,1.395
114,-0.426,0.246,1.543
115,-1.000,-0.586,1.516
116,-1.113,-0.121,1.141
117,-0.992,0.547,1.230
118,-1.195,0.719,0.805
119,-0.742,0.477,1.055
120,-1.516,-0.090,1.355
121,-1.715,0.156,1.172
122,-1.074,0.105,0.957
123,-1.156,-0.348,0.887
124,-1.324,-0.391,0.824
125,-1.656,0.172,0.234
126,-1.410,0.000,0.703
127,-1.207,-0.461,1.027
128,-1.348,-0.242,1.266
129,-1.371,0.023,0.969
130,-1.535,0.238,1.031
131,-1.191,0.266,1.625
132,-1.316,0.109,0.922
133,-1.031,0.469,0.566
134,-1.031,0.469,0.566
135,-0.801,0.141,1.496
136,-1.250,-0.043,1.742
137,-0.875,-0.121,1.188
138,-1.039,-0.062,0.523
139,-0.758,-0.191,1.191
140,-0.484,-0.008,1.199
141,-1.336,0.195,0.945
142,-1.254,-0.152,0.523
143,-1.160,-0.152,0.918
144,-1.156,0.422,1.188
145,-1.055,0.492,0.668
146,-1.316,-0.047,0.734
147,-1.496,-0.043,0.988
148,-1.711,0.148,0.918
149,-1.266,0.160,0.898
150,-1.340,-0.055,1.227
151,-1.844,-0.051,1.180
152,-1.621,-0.039,0.504
153,-1.219,-0.027,0.703
154,-1.109,0.109,1.355
155,-1.293,-0.012,1.500
156,-1.285,-0.246,1.047
157,-0.855,-0.293,1.062
158,-0.750,0.012,1.543
159,-1.016,0.238,1.656
160,-1.066,0.117,1.113
161,-1.211,-0.410,0.918
162,-1.242,-0.113,0.996
163,-0.887,0.527,1.219
164,-0.941,0.902,1.453
165,-1.598,0.262,1.254
166,-1.375,-0.359,0.223
167,-1.109,-0.141,0.094
168,-1.180,0.375,0.926
169,-1.188,0.414,1.031
170,-1.723,-0.527,0.707
171,-1.684,-0.770,0.430
172,-0.855,-0.426,0.910
173,-0.934,0.051,1.336
174,-1.531,0.086,1.492
175,-1.855,-0.090,0.809
176,-1.168,-0.176,0.785
177,-0.914,0.480,0.855
178,-0.383,0.594,1.844
179,-1.137,0.176,1.750
180,-1.184,-0.047,1.363
181,-1.117,-0.500,0.168
182,-0.945,-0.438,0.789
183,-0.754,0.227,1.059
184,-1.000,0.727,1.777
185,-1.824,-0.355,1.023
186,-1.656,-0.766,0.105
187,-1.078,-0.320,0.641
188,-0.695,1.078,1.301
189,-0.926,0.625,1.609
190,-1.812,-0.090,1.320
191,-1.914,-0.723,0.223
192,-1.133,0.098,0.383
193,-0.848,0.281,1.184
194,-0.977,0.273,1.527
195,-1.215,-0.207,1.156
196,-1.727,-0.641,0.867
197,-1.180,-0.426,0.492
198,-1.180,-0.426,0.492
199,-0.848,0.176,1.102
200,-0.906,1.074,1.293
201,-1.297,0.191,0.832
202,-1.438,-0.766,1.160
203,-1.738,-0.156,1.277
204,-0.824,0.520,0.949
205,-0.293,0.590,1.219
206,-0.758,0.285,1.578
207,-1.219,-0.008,1.207
208,-1.855,-0.352,0.500
209,-1.312,-0.500,0.953
