Sample,X,Y,Z
0,0.008,0.234,1.078
1,-0.008,0.008,1.020
2,0.000,0.004,1.012
3,0.000,0.004,1.020
4,0.000,0.000,1.043
5,-0.012,0.008,1.027
6,0.012,0.008,1.023
7,0.012,0.012,0.992
8,-0.004,0.008,1.012
9,0.016,0.004,1.051
10,0.008,0.008,1.020
11,0.004,0.004,1.000
12,0.000,0.000,1.000
13,0.000,-0.012,1.012
14,0.004,0.000,1.023
15,0.000,0.016,1.055
16,0.008,-0.004,0.969
17,0.004,-0.004,0.984
18,-0.020,0.008,1.062
19,-0.004,0.008,1.020
20,-0.008,0.012,1.000
21,-0.004,0.000,1.008
22,0.004,0.012,1.055
23,0.008,0.008,1.004
24,-0.035,0.004,0.988
25,0.012,-0.012,1.051
26,-0.004,0.008,1.020
27,0.008,0.000,0.992
28,0.008,0.008,1.031
29,0.000,-0.008,1.066
30,0.020,0.016,1.023
31,-0.008,0.020,1.043
32,-0.016,0.008,1.035
33,0.000,-0.008,1.023
34,-0.008,0.008,1.016
35,0.004,0.004,1.008
36,0.012,0.012,1.000
37,0.008,-0.004,1.031
38,-0.016,0.000,1.020
39,0.012,0.004,1.008
40,0.000,-0.008,1.000
41,-0.004,0.000,1.035
42,0.012,0.000,1.020
43,-0.008,0.016,1.043
44,-0.012,0.012,1.016
45,-0.023,0.008,0.980
46,-0.012,0.020,1.016
47,-0.012,0.012,1.055
48,0.000,0.012,1.059
49,0.012,-0.012,1.008
50,-0.004,0.012,0.984
51,0.004,0.012,1.039
52,0.016,-0.008,1.027
53,0.000,0.020,1.008
54,0.000,0.004,1.000
55,-0.012,0.012,1.004
56,-0.008,0.012,1.008
57,-0.008,0.012,1.012
58,0.004,0.016,1.020
59,-0.008,0.023,0.988
60,-0.016,0.012,1.043
61,0.004,0.008,1.023
62,-0.004,0.004,1.023
63,-0.016,0.000,1.039
64,0.016,0.016,1.043
65,-0.016,0.008,1.047
66,0.008,0.000,1.023
67,0.008,0.027,1.039
68,-0.020,0.004,0.988
69,0.008,0.000,1.027
70,0.008,0.020,1.039
71,0.000,0.027,0.977
72,-0.004,0.012,1.016
73,0.023,0.012,1.000
74,-0.027,0.020,1.043
75,-0.020,0.027,1.078
76,0.023,0.004,1.070
77,0.004,0.008,0.961
78,-0.004,0.004,1.020
79,0.004,0.012,1.043
80,-0.008,0.016,1.008
81,0.020,0.012,1.047
82,0.000,0.008,0.980
83,-0.023,0.020,0.992
84,-0.004,0.008,1.004
85,-0.008,0.008,1.012
86,0.004,0.012,1.008
87,0.004,0.004,0.969
88,-0.012,0.012,1.027
89,-0.012,0.047,1.016
90,0.000,0.188,1.137
91,-0.434,0.145,1.254
92,-1.422,0.160,1.551
93,-1.516,0.125,1.102
94,-1.656,0.129,0.406
95,-1.988,0.223,0.414
96,-1.953,0.402,0.984
97,-1.992,0.254,1.270
98,-1.992,-0.211,0.309
99,-1.914,-0.574,-0.246
100,-1.902,-0.438,0.504
101,-1.867,0.223,1.457
102,-1.297,-0.309,1.641
103,-1.828,-0.992,1.320
104,-0.906,-0.828,1.176
105,-0.160,0.219,0.758
106,-0.770,0.305,1.961
107,-0.727,0.473,1.992
108,-0.496,0.352,1.918
109,-0.121,-0.215,0.977
110,-0.148,0.234,1.141
111,-0.328,0.973,1.918
112,-0.582,0.871,1.086
113,-1.422,-0.020,-0.016
114,-0.625,-0.098,-0.160
115,-1.098,0.152,0.172
116,-1.469,0.191,0.477
117,-1.469,-0.148,-0.062
118,-1.906,-0.734,-0.031
119,-1.652,-0.918,-0.199
120,-1.402,0.141,-0.031
121,-1.934,0.367,1.457
122,-1.902,-0.113,0.699
123,-1.594,-0.281,1.148
124,-1.691,0.133,1.676
125,-1.387,0.617,1.754
126,-1.316,-0.008,1.938
127,-1.637,-0.039,1.660
128,-1.023,-0.129,1.711
129,-0.777,0.102,1.801
130,-0.988,0.016,1.758
131,-0.691,0.039,1.535
132,-0.711,0.020,1.336
133,-0.840,0.156,1.395
134,-0.430,0.340,1.035
135,-0.859,0.254,0.836
136,-1.520,0.035,0.172
137,-1.449,0.387,0.129
138,-1.645,-0.094,0.219
139,-1.027,0.211,-0.020
140,-0.883,-0.020,0.473
141,-1.695,-0.664,0.547
142,-1.523,-0.363,0.188
143,-1.824,-0.129,-0.172
144,-1.316,-0.008,-0.203
145,-0.980,0.031,1.156
146,-1.375,0.273,1.828
147,-1.449,0.551,1.703
148,-1.492,-0.180,1.406
149,-1.531,-0.016,1.246
150,-0.648,0.133,1.559
151,-0.914,0.242,1.918
152,-1.438,0.055,1.992
153,-1.688,-0.332,1.770
154,-1.227,-0.387,1.070
155,-0.590,-0.430,0.965
156,-0.727,0.285,1.816
157,-1.043,0.457,1.570
158,-1.660,0.297,0.609
159,-1.094,-0.141,-0.160
160,-0.652,-0.055,0.555
161,-0.246,0.195,0.738
162,-0.840,0.629,0.902
163,-1.605,0.215,0.090
164,-1.629,-1.152,-0.512
165,-0.980,-0.691,-0.691
166,-0.621,0.258,1.008
167,-1.301,0.961,1.508
168,-1.855,-0.148,1.137
169,-1.914,-0.957,-0.270
170,-1.195,-0.234,0.777
171,-0.031,1.066,1.785
172,-0.898,0.891,1.906
173,-1.906,-0.449,1.426
174,-1.586,-1.043,0.668
175,-1.504,-0.102,1.328
176,-0.484,0.996,1.906
177,-0.250,0.270,1.965
178,-1.281,-0.621,1.648
179,-1.688,-0.691,0.941
180,-1.559,-0.383,0.492
181,-0.559,0.691,1.234
182,-0.602,1.207,1.633
183,-0.844,0.328,1.074
184,-1.910,-1.023,0.625
185,-1.629,-0.492,0.266
186,-0.777,0.977,0.648
187,-0.781,1.039,0.527
188,-0.629,-0.082,0.520
189,-1.379,-0.590,0.336
190,-1.969,-0.758,0.148
191,-1.059,-0.207,0.469
192,-0.941,0.438,1.242
193,-1.023,0.051,1.008
194,-1.102,-0.426,0.344
195,-1.387,0.184,1.324
196,-1.582,0.195,1.688
197,-0.949,0.461,1.105
198,-0.941,0.453,1.465
199,-1.348,-0.121,1.695
200,-1.070,-0.027,1.367
201,-1.359,0.262,1.629
202,-1.578,-0.109,1.691
203,-1.082,-0.078,1.145
204,-1.145,0.000,1.043
205,-1.238,-0.457,0.914
206,-1.348,-0.020,1.145
207,-0.836,-0.172,1.234
208,-1.832,-0.051,0.918
209,-1.832,-0.051,0.918
210,-1.168,0.348,0.699
211,-0.598,-0.102,0.320
212,-1.848,0.117,0.504
213,-0.758,0.680,0.492
214,-1.137,0.172,0.758
215,-1.910,0.145,1.270
216,-0.578,-0.078,0.539
217,-1.418,-0.039,0.145
218,-1.590,0.301,1.039
219,-0.289,-0.047,0.801
220,-1.672,0.527,1.312
221,-1.391,-0.105,1.426
222,-1.391,-0.105,1.426
223,-0.703,-0.113,0.664
224,-1.727,0.398,1.672
225,-0.516,-0.281,0.844
226,-1.102,0.324,1.547
227,-1.168,-0.531,1.484
228,-1.008,-0.309,1.098
229,-1.203,-0.203,1.691
230,-0.824,-0.711,0.531
231,-1.297,0.102,1.715
232,-0.215,-0.527,1.145
233,-1.367,0.305,0.930
234,-0.879,0.645,1.641
235,-0.820,0.242,-0.008
236,-1.086,0.059,1.043
237,-1.258,-0.352,-0.266
238,-1.605,-0.266,0.816
239,-1.309,-0.109,0.387
240,-1.500,0.512,0.777
241,-1.172,0.227,0.555
242,-1.281,0.730,0.496
243,-1.172,0.168,0.535
244,-1.793,0.176,1.332
245,-1.160,-0.102,1.246
246,-1.895,-0.094,1.605
247,-1.207,-0.340,1.543
248,-1.324,0.109,1.316
249,-0.297,-0.652,1.672
250,0.797,-0.199,1.062
251,1.816,-0.574,1.941
252,1.992,0.270,1.750
253,1.992,-0.477,1.770
254,1.617,-0.719,1.266
255,1.992,-0.773,0.941
256,1.992,0.383,0.883
257,1.992,0.191,1.172
258,1.949,-0.363,0.164
259,1.992,0.207,0.543
260,1.992,1.613,-0.098
261,1.844,1.629,0.289
262,1.992,0.398,-0.770
263,1.125,0.844,-0.414
264,0.844,-0.152,-0.383
265,0.520,0.367,-0.918
266,-0.164,0.137,0.098
267,-0.953,-0.383,-0.055
268,-0.297,-0.355,0.273
269,-0.566,-0.934,0.773
270,-0.922,-0.746,0.809
271,-0.020,-0.645,1.531
272,-0.215,-0.363,1.758
273,-0.590,-0.547,1.734
274,1.309,-0.684,1.973
275,0.684,-0.117,1.992
276,1.492,0.500,1.992
277,1.898,-0.090,1.969
278,1.285,-0.352,1.988
279,1.980,-0.480,1.359
280,1.875,0.324,1.711
281,1.973,0.801,0.660
282,1.992,0.934,-0.094
283,1.867,0.770,0.254
284,1.992,0.957,-0.852
285,1.988,0.621,-0.520
286,1.602,0.035,-1.168
287,1.594,-0.074,-1.180
288,0.879,-0.836,-1.188
289,1.023,-0.023,-1.492
290,0.660,-0.340,-0.285
291,-0.223,-0.574,0.020
292,0.863,-0.102,0.258
293,0.316,-0.707,1.148
294,0.062,-0.117,1.332
295,0.699,0.215,1.797
296,-0.141,-0.449,1.992
297,0.230,-0.109,1.992
298,1.191,0.277,1.992
299,0.230,-0.031,1.992
300,1.219,-0.352,1.992
301,1.609,-0.031,1.992
302,1.004,-0.027,1.992
303,1.918,-0.348,1.539
304,1.375,0.230,1.695
305,1.430,0.406,1.043
306,1.973,-0.117,0.238
307,1.668,0.273,-0.129
308,1.789,0.172,-0.781
309,1.547,-0.242,-0.953
310,1.535,0.008,-1.047
311,1.629,0.203,-1.129
312,0.973,0.469,-1.023
313,1.543,-0.098,-1.195
314,0.652,0.094,-0.477
315,0.621,0.297,-0.148
316,1.387,-0.406,0.316
317,0.535,-0.504,1.391
318,1.168,0.254,1.578
319,1.105,0.449,1.695
320,0.559,-0.320,1.992
321,0.461,-0.324,1.992
322,0.602,0.090,1.992
323,0.211,-0.230,1.992
324,0.980,-0.320,1.992
325,1.125,-0.512,1.992
326,1.555,0.207,1.992
327,1.426,0.305,1.797
328,1.191,-0.055,1.555
329,0.633,-0.398,0.805
330,1.285,0.180,0.199
331,1.621,0.148,-0.234
332,0.871,0.090,-0.047
333,1.621,-0.141,-0.602
334,1.672,0.609,-0.148
335,1.477,0.344,-0.164
336,1.965,0.184,-1.027
337,0.938,-0.301,-0.387
338,0.934,-0.020,-0.902
339,1.301,0.613,0.109
340,1.461,-0.020,1.012
341,1.516,-0.363,1.059
342,1.312,-0.211,1.773
343,1.410,-0.191,1.531
344,0.551,-0.148,1.992
345,1.188,-0.148,1.758
346,0.855,-0.145,1.789
347,0.609,0.195,1.992
348,1.340,0.078,1.992
349,0.781,0.023,1.953
350,1.160,0.078,1.398
351,1.453,0.234,1.504
352,0.809,0.227,1.863
353,1.090,0.023,1.055
354,1.328,-0.668,0.320
355,1.039,-0.590,0.609
356,1.465,-0.238,0.379
357,1.055,-0.102,0.156
358,1.488,0.051,-0.363
359,1.750,0.102,0.008
360,1.402,0.266,0.422
361,1.449,0.422,0.227
362,1.562,0.293,0.441
363,1.305,-0.020,0.164
364,1.527,0.000,0.184
365,1.664,0.512,1.223
366,1.281,0.137,1.516
367,1.598,-0.672,0.973
368,0.898,-0.418,1.371
369,0.758,-0.301,1.633
370,1.375,-0.324,1.578
371,1.137,0.289,1.980
372,1.094,0.207,1.707
373,1.066,-0.180,1.508
374,1.082,-0.293,1.824
375,1.059,0.285,1.531
376,1.320,0.309,1.148
377,0.996,-0.680,0.648
378,0.867,0.109,1.473
379,1.859,0.336,1.207
380,1.535,0.172,0.484
381,1.414,-0.047,0.527
382,1.410,-0.238,0.074
383,1.086,0.344,0.438
384,1.785,0.246,0.188
385,1.625,-0.281,0.707
386,0.902,-0.410,0.488
387,1.148,-0.141,0.090
388,1.488,0.180,0.504
389,1.430,-0.125,0.988
390,1.383,0.219,1.094
391,1.059,0.449,1.199
392,1.234,-0.270,1.043
393,1.152,0.008,1.582
394,1.434,0.414,1.586
395,1.188,0.000,1.582
396,0.465,-0.434,1.973
397,1.051,-0.188,1.402
398,1.102,0.020,0.832
399,1.160,-0.098,1.148
400,1.363,-0.012,1.895
401,0.777,0.215,1.758
402,1.305,-0.098,0.496
403,1.371,-0.086,0.598
404,0.273,0.129,0.832
405,-0.344,0.363,0.293
406,0.105,0.391,0.117
407,0.156,0.066,0.094
408,-0.629,-0.020,0.352
409,-0.344,0.148,0.207
410,-0.508,0.062,0.707
411,-0.398,-0.117,0.969
412,0.086,-0.285,0.777
413,-0.312,-0.285,1.176
414,-0.402,-0.031,1.824
415,-0.117,-0.121,1.949
416,-0.297,-0.352,1.617
417,-0.203,-0.332,1.645
418,-0.043,0.121,1.840
419,0.090,0.352,1.969
420,0.340,0.199,1.617
421,0.305,0.027,1.352
422,0.234,0.109,1.270
423,0.363,0.270,1.121
424,0.414,0.117,0.789
425,0.254,-0.086,0.316
426,0.098,-0.078,0.113
427,0.074,0.012,0.105
428,-0.066,0.020,0.066
429,-0.156,-0.098,-0.027
